id_r,id_q,r_scale,q_scale,success_rate,mean_steps_success,mean_rmse_gnss_xy,mean_rmse_ekf_xy,mean_smoothness_xy,mean_theta_err,cost_score,stage,quality_score
1,1,0.4,0.6,1,612,0.708731645924274,0.181874337965102,0.0820058915701173,0.148617186891936,0.231077872907173,coarse,0.812296299046066
1,2,0.4,0.766666666666667,1,597.333333333333,0.695284974145303,0.175806424253128,0.0756607050424705,0.136674186595534,0.22120284727861,coarse,0.818864779285808
1,3,0.4,0.933333333333333,1,618.333333333333,0.708784166276678,0.172443927140142,0.0717755593988296,0.153808179035663,0.215509262779439,coarse,0.822700435629223
1,4,0.4,1.1,1,581,0.706970795398426,0.181982388512255,0.0696695989663673,0.123504715823538,0.223784147892075,coarse,0.817137566067075
1,5,0.4,1.26666666666667,1,587.333333333333,0.709839180175178,0.170029966270347,0.0680780248654788,0.124426944413297,0.210876781189635,coarse,0.825847861264251
1,6,0.4,1.43333333333333,1,596.333333333333,0.711863032973734,0.186419238512397,0.0664954486507837,0.164579024336577,0.226316507702868,coarse,0.815450166183604
1,7,0.4,1.6,1,576.333333333333,0.706528968752991,0.174989364211895,0.0647920198247644,0.137801664760231,0.213864576106753,coarse,0.823815127060809
2,1,0.6,0.6,1,620,0.71352373654297,0.195229128206728,0.0929539425929345,0.145083438911255,0.251001493762489,coarse,0.799359557111653
2,2,0.6,0.766666666666667,1,652,0.714893716157273,0.206686372284385,0.0846043107481313,0.165385223371502,0.257448958733263,coarse,0.795260907454555
2,3,0.6,0.933333333333333,1,600.333333333333,0.713909355284359,0.171623039069961,0.0813238713633298,0.133447083266434,0.220417361887959,coarse,0.819391817282099
2,4,0.6,1.1,1,596.666666666667,0.701192664499528,0.179552756999817,0.076569152195583,0.131463303189344,0.225494248317167,coarse,0.815997301801446
2,5,0.6,1.26666666666667,1,598,0.708994045216496,0.193093306114139,0.0741726862687977,0.140972584531212,0.237596917875418,coarse,0.808017526188332
2,6,0.6,1.43333333333333,1,597.666666666667,0.702870802380577,0.180360227866772,0.0706538989935182,0.130089786483555,0.222752567262883,coarse,0.81782694780064
2,7,0.6,1.6,1,576,0.707056337392467,0.169029666829864,0.0703325116289714,0.120535502844559,0.211229173807247,coarse,0.825607590722661
3,1,0.8,0.6,1,641.666666666667,0.696235142826822,0.2077876764044,0.0993350329260717,0.160157602692952,0.267388696160043,coarse,0.789023922203045
3,2,0.8,0.766666666666667,1,611,0.695327072378097,0.187829033188648,0.0917149760756298,0.144181352350277,0.242858018834026,coarse,0.804597134062135
3,3,0.8,0.933333333333333,1,642.666666666667,0.702306129620719,0.195805244127835,0.0860970272536934,0.151200359744335,0.247463460480051,coarse,0.801626686215866
3,4,0.8,1.1,1,613,0.710635572485866,0.193571195195533,0.0831729757037225,0.158716277171785,0.243474980617767,coarse,0.804197925641571
3,5,0.8,1.26666666666667,1,603,0.720627452971095,0.185111578524699,0.0803165158622788,0.135059746814009,0.233301488042067,coarse,0.810831746897147
3,6,0.8,1.43333333333333,1,593,0.698451018853773,0.177373852495743,0.0771544029770019,0.12876382116048,0.223666494281944,coarse,0.817216132559719
3,7,0.8,1.6,1,584.333333333333,0.694618450859728,0.173318406965965,0.0745706465709471,0.127898353039003,0.218060794908533,coarse,0.820977084378692
4,1,1,0.6,1,632.333333333333,0.704117220079585,0.220529934174299,0.108249283505163,0.159670216025642,0.285479504277396,coarse,0.77791983199462
4,2,1,0.766666666666667,1,642.666666666667,0.708117023593312,0.222800331732988,0.0999458379456766,0.167672054291951,0.282767834500394,coarse,0.77956429301135
4,3,1,0.933333333333333,1,631.333333333333,0.70776589978355,0.204764586375616,0.0931506038780273,0.149185756362103,0.260654948702432,coarse,0.793238467852984
4,4,1,1.1,1,634.333333333333,0.70837600468782,0.1964176702052,0.0888736861687511,0.160753498776822,0.24974188190645,coarse,0.800165229698892
4,5,1,1.26666666666667,1,619.333333333333,0.697603182126824,0.190530550213517,0.0832736515599258,0.144389054650511,0.240494741149473,coarse,0.806129979296305
4,6,1,1.43333333333333,1,627.333333333333,0.705902799458702,0.199748434286786,0.0806023127525965,0.147682923489458,0.248109821938344,coarse,0.80121154598958
4,7,1,1.6,1,620.333333333333,0.713354176943345,0.189391921967759,0.0797019244307531,0.157231734768992,0.237213076626211,coarse,0.808268210943038
5,1,1.2,0.6,1,661,0.706204400679069,0.229627142047068,0.115978844389831,0.181338798739663,0.299214448680966,coarse,0.769695873545168
5,2,1.2,0.766666666666667,1,662.666666666667,0.713516850362841,0.217125842368236,0.107467919942753,0.172079280578039,0.281606594333888,coarse,0.780270641881137
5,3,1.2,0.933333333333333,1,626,0.70554894461829,0.199195402574181,0.100723041818568,0.152269698106788,0.259629227665322,coarse,0.793884405058991
5,4,1.2,1.1,1,639.666666666667,0.705224512632239,0.205538243802719,0.0929979648962954,0.158529131775694,0.261337022740496,coarse,0.792809520351118
5,5,1.2,1.26666666666667,1,647.333333333333,0.693109206722436,0.209322935730167,0.0873167581726131,0.175115691801957,0.261712990633735,coarse,0.792573277301138
5,6,1.2,1.43333333333333,1,624.666666666667,0.706739053914303,0.19424661957942,0.0863019697078735,0.160014767134951,0.246027801404144,coarse,0.802550311375961
5,7,1.2,1.6,1,608,0.699081232635335,0.192174074342262,0.0825686334864511,0.145246929410207,0.241715254434132,coarse,0.805337613779831
6,1,1.4,0.6,1,689.333333333333,0.711613397452824,0.236131279587192,0.123473026431119,0.208017914223773,0.310215095445864,coarse,0.76323345951048
6,2,1.4,0.766666666666667,1,654,0.708287490218096,0.228460758957099,0.113086466407423,0.170927634938687,0.296312638801553,coarse,0.771418846092949
6,3,1.4,0.933333333333333,1,640.666666666667,0.721934136020236,0.21870115302665,0.106173994976832,0.162652920545686,0.28240555001275,coarse,0.779784522914813
6,4,1.4,1.1,1,641,0.707294280361182,0.210019270102686,0.0986348923462913,0.149558649213136,0.269200205510461,coarse,0.787897760856262
6,5,1.4,1.26666666666667,1,613.333333333333,0.716202732356524,0.201153998445004,0.0951702822843806,0.165792577929007,0.258256167815632,coarse,0.794750723722681
6,6,1.4,1.43333333333333,1,648.666666666667,0.709539752882224,0.207825947425155,0.0900442113391575,0.160697216017748,0.26185247422865,coarse,0.792485667241952
6,7,1.4,1.6,1,641.666666666667,0.708496714312612,0.195455006298061,0.0876472697288266,0.177593688754492,0.248043368135357,coarse,0.801254207611433
7,1,1.6,0.6,1,678,0.701764960674667,0.239841903839278,0.129352075507177,0.188544141189688,0.317453149143585,coarse,0.759040274525173
7,2,1.6,0.766666666666667,1,664,0.70700241339448,0.232494488568162,0.116944964859914,0.167783359940271,0.30266146748411,coarse,0.767659153940698
7,3,1.6,0.933333333333333,1,670,0.719646970950004,0.227735230534394,0.110977871226465,0.178971853583443,0.294321953270273,coarse,0.772605299225103
7,4,1.6,1.1,1,634.666666666667,0.717055004845374,0.215232268784044,0.10519399105121,0.165561554978872,0.27834866341477,coarse,0.782259197837908
7,5,1.6,1.26666666666667,1,639.333333333333,0.706084587567086,0.202742986936725,0.0981484801662938,0.16931348816666,0.261632075036501,coarse,0.792624109505989
7,6,1.6,1.43333333333333,1,643,0.720971371809406,0.210704047564209,0.095859877445371,0.160538212755201,0.268219974031431,coarse,0.788506742108145
7,7,1.6,1.6,1,638,0.702730530293059,0.20440063660801,0.08980908833806,0.160087094956444,0.258286089610846,coarse,0.794731824707108
