param,phase,id,test_value,success_rate,mean_steps_success,mean_rmse_gnss_xy,mean_rmse_ekf_xy,mean_theta_err,cost_score,quality_score
R_xx,coarse,1,0.003,1,623.25,0.704617320330341,0.212217059969806,0.131923629709503,0.212217059969806,0.82493476871618
R_xx,coarse,2,0.005,1,647.75,0.703818508711083,0.22327314152221,0.133127004065242,0.22327314152221,0.817478914607432
R_xx,coarse,3,0.008,1,634.75,0.711194154574793,0.223185276924509,0.122002086756189,0.223185276924509,0.817537636255997
R_xx,coarse,4,0.01,1,643.75,0.713433313945219,0.2425835304888,0.126724658390901,0.2425835304888,0.804774870633145
R_xx,coarse,5,0.015,1,617.25,0.706033629792355,0.248174384920172,0.115535214292683,0.248174384920172,0.801170102576617
R_xx,coarse,6,0.02,1,638.25,0.698036672653112,0.255524175738955,0.119336017987332,0.255524175738955,0.796480083238092
R_xx,coarse,7,0.03,1,652,0.703067215343955,0.274859181560131,0.116385344769771,0.274859181560131,0.784400359242997
R_xx,fine,1,0.0021,1,624.25,0.704693487858983,0.20829050161589,0.137146589021168,0.20829050161589,0.827615543333879
R_xx,fine,2,0.00255,1,649.25,0.703087860378963,0.214831706568059,0.14238841791891,0.214831706568059,0.823159285844649
R_xx,fine,3,0.00285,1,632.5,0.71040401475562,0.208277468330024,0.131607220848997,0.208277468330024,0.827624470546582
R_xx,fine,4,0.003,1,642.5,0.713027010436989,0.222028367139875,0.13997310414996,0.222028367139875,0.818311609525459
R_xx,fine,5,0.00315,1,615.75,0.706406338636191,0.221192639558547,0.133942386322612,0.221192639558547,0.818871624022803
R_xx,fine,6,0.00345,1,629.5,0.698267060770224,0.217847774491093,0.13343182660714,0.217847774491093,0.821120685972328
R_xx,fine,7,0.0039,1,639.5,0.703578149219115,0.228221410342873,0.134165973446456,0.228221410342873,0.814185448632456
R_yy,coarse,1,0.003,1,650.25,0.701399714979645,0.199450478528224,0.150779204364314,0.199450478528224,0.833715120299957
R_yy,coarse,2,0.005,1,628,0.714057470530927,0.19723109524057,0.133092817771571,0.19723109524057,0.835260630946995
R_yy,coarse,3,0.008,1,644.25,0.715242207337694,0.2201385787582,0.146769395550299,0.2201385787582,0.819579035864724
R_yy,coarse,4,0.01,1,642.5,0.725406658369055,0.226937540260746,0.144513254829776,0.226937540260746,0.815037414037786
R_yy,coarse,5,0.015,1,633.5,0.708843946220066,0.226181108427325,0.139738961703951,0.226181108427325,0.815540211088866
R_yy,coarse,6,0.02,1,647,0.706714672790801,0.234870793649438,0.140918382708018,0.234870793649438,0.80980132103107
R_yy,coarse,7,0.03,1,644,0.692988691781407,0.250530119986967,0.143609390797617,0.250530119986967,0.799660867033272
R_yy,fine,1,0.0035,1,651,0.701295397904062,0.201381747486157,0.150179373695934,0.201381747486157,0.832374890073417
R_yy,fine,2,0.00425,1,627.75,0.713772291155458,0.194620546008595,0.134309674697943,0.194620546008595,0.837085887515621
R_yy,fine,3,0.00475,1,647.5,0.714971769392407,0.210768998114542,0.147779864418127,0.210768998114542,0.825921378526573
R_yy,fine,4,0.005,1,641.75,0.725845025648936,0.212323232634173,0.149457021382658,0.212323232634173,0.824862522701284
R_yy,fine,5,0.00525,1,633.25,0.709261188615818,0.202374135138299,0.144217284942592,0.202374135138299,0.831687883809126
R_yy,fine,6,0.00575,1,641.5,0.706520746856276,0.205095820933183,0.141034139991189,0.205095820933183,0.829809532677356
R_yy,fine,7,0.0065,1,629.5,0.694473837743311,0.21154197777904,0.143220098254925,0.21154197777904,0.82539442985968
R_tt,coarse,1,0.003,1,586.5,0.701118999421044,0.197029846821476,0.0921676790306493,0.197029846821476,0.835401057588783
R_tt,coarse,2,0.005,1,599.75,0.694326862777819,0.193989387578166,0.105695187635039,0.193989387578166,0.837528382080811
R_tt,coarse,3,0.008,1,620.75,0.714127094008047,0.195560952936717,0.127498166690679,0.195560952936717,0.836427450682167
R_tt,coarse,4,0.01,1,628.5,0.707885890223394,0.203017491808132,0.138069970489188,0.203017491808132,0.831243108940172
R_tt,coarse,5,0.015,1,656.25,0.707098173121367,0.20301915493747,0.168313956370076,0.20301915493747,0.831241959777421
R_tt,coarse,6,0.02,1,656.75,0.700750198195177,0.20687834837911,0.187438656361801,0.20687834837911,0.82858392591353
R_tt,coarse,7,0.03,1,689,0.703859318492724,0.210390504189105,0.22705169666718,0.210390504189105,0.826179647427047
R_tt,fine,1,0.0035,1,592.75,0.7003235643905,0.19753162065062,0.0969841070354104,0.19753162065062,0.835051018908962
R_tt,fine,2,0.00425,1,594.5,0.693729775236341,0.192961053707668,0.098307988792496,0.192961053707668,0.838250332558675
R_tt,fine,3,0.00475,1,598,0.716145556294334,0.191293611254046,0.101849845346676,0.191293611254046,0.839423623658423
R_tt,fine,4,0.005,1,592.5,0.707550364494178,0.20011753116005,0.102201170399268,0.20011753116005,0.833251722465371
R_tt,fine,5,0.00525,1,604.25,0.705270237901041,0.193971718208474,0.102441021741724,0.193971718208474,0.837540776510583
R_tt,fine,6,0.00575,1,582.75,0.70061076002741,0.193766539052492,0.100711911091511,0.193766539052492,0.837684729204852
R_tt,fine,7,0.0065,1,602.75,0.706573058142781,0.197615065737419,0.112440277800675,0.197615065737419,0.834992835852696
