step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,fusion_disagreement_large,15.6,1,0.626591452562618,15.6373217294609,0.928928400478754,0,0.0802750505977017,0.626591452562618,0,-0.55,Inf,4.84161754570843,Inf,7.41328381861987,0.127450980392157,13.8012069869567,Inf,1,NaN,11.8067777145164,11.8418908802357,0.0548166246372703,1.0077166095102,6,0,0,Inf,4.84161754570843,Inf,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.14870995387578,4.14870995387578,NaN,7.41328381861987,13.8012069869567,0,0,0,0,0.055,search,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,fusion_disagreement_large,15.5998890062917,0.999924252669107,0.571104704221475,15.7514390338318,0.679369462089008,-0.0550000000000002,0.354574089029726,0.626104704221475,0,-0.55,Inf,4.68134263896267,Inf,7.4998183994085,0.0886892712550607,6.67104050915723,Inf,1,NaN,11.8066642185113,11.951702577077,0.0324892303846305,1.00043774422226,4,0,0,Inf,4.68134263896267,Inf,0.217127697196983,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.08407427847519,3.95707553230367,NaN,7.42886004316182,12.5177770209528,-0.191634421572106,0,0,0,0.11,search,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.274412869390416
3,globalize,fusion_disagreement_large,15.5998435450815,0.999896783796767,0.515938292695391,15.539768994409,1.14031598211831,-0.11,0.15273016367361,0.625938292695391,0,0.55,Inf,4.95632598901869,Inf,7.12558571911647,0.07075731847143,13.4740968229154,Inf,1,NaN,11.8066178529709,11.7521962799563,0.104657751265954,1.01905396129518,6,0,0,Inf,4.95632598901869,Inf,0.274983350056015,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.06856293078452,3.43714326403023,NaN,7.37427066483366,12.6899145853061,-0.519932268273448,0,0,0,0.165,search,0,3,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.507223717817259
4,globalize,fusion_disagreement_large,15.5999075187835,0.999935450649973,0.571385017306847,15.5907316730361,0.9766913590856,-0.0550000000000002,0.0249896766252296,0.626385017306847,0,0.55,Inf,4.67380209081372,Inf,7.13698163871416,0.0610397064263339,13.5630492149414,Inf,1,NaN,11.8066830996911,11.7967474231479,0.109026324426551,1.10278177012844,5,0,0,Inf,4.67380209081372,Inf,0.282523898204969,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.07981255924531,3.19282373716894,NaN,7.33155864013215,12.8470788186404,-0.244319526861283,0,0,0,0.22,search,0,4,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.171377396045823
5,globalize,fusion_disagreement_large,15.5999275996755,0.999949176283776,0.627770527912218,15.5402668664898,0.908823021535525,0,0.108919140482512,0.627770527912218,0,0.55,Inf,4.88147491740663,Inf,7.30930174034095,0.0553200312954394,13.5665556186697,Inf,1,NaN,11.8067036340035,11.7443278971182,0.0748830658827158,1.02198192024718,5,0,0,Inf,4.88147491740663,Inf,0.291673774545538,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.15231633666418,3.36553240507809,NaN,7.32755239816974,12.9765846426457,0.172708667909144,0,0,0,0.275,search,0,5,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0845742747031517
6,globalize,fusion_disagreement_large,15.599899578342,0.999927649711785,0.682351109489277,15.4945954793283,1.00881330976529,0.0550000000000002,0.105678324284949,0.627351109489277,0,0.55,Inf,5.12474339517804,Inf,7.06732468011036,0.0517886788123506,13.5867114689374,Inf,1,NaN,11.8066748995626,11.7017388343514,0.0905654336804873,1.00054987969508,5,0,0,Inf,5.12474339517804,Inf,0.151493375250608,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.34575721581654,3.36197287101101,NaN,7.28071140891905,13.0864074713782,-0.00355953406707821,0,0,0,0.33,search,0,6,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.109926945493483
7,globalize,fusion_disagreement_large,15.5999291328746,0.999953056803831,0.737809384367637,15.4485701181163,0.903831364490504,0.11,0.179301230006312,0.627809384367637,0,0.55,Inf,5.22977982548522,Inf,6.30034750522855,0.049543715833199,13.5082623825247,Inf,1,NaN,11.8067052977751,11.6525318834458,0.0637600291455794,1.05983085337519,4,0,0,Inf,5.22977982548522,Inf,0.171265420509603,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35380362667078,3.36050240702977,NaN,7.10424590625476,13.1623413553846,-0.00147046398123996,0,0,0,0.385,search,0,7,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.114627844385093
8,globalize,fusion_disagreement_large,15.5999471980119,0.999970407885189,0.79266873587633,15.4206612133053,0.913030207753418,0.165,0.199253764609797,0.62766873587633,0,0.55,Inf,5.65298469645283,Inf,6.37785034989998,0.0480899084584266,6.7013645956806,Inf,1,NaN,11.8067239403254,11.6248765561353,0.0510076214311046,1.02942714809796,5,0,0,Inf,5.65298469645283,Inf,0.213978540871148,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.80210092367644,3.25999014002617,NaN,6.9734947061109,11.9993655386379,-0.100512267003599,0,0,0,0.44,search,0,8,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0293858075459457
9,globalize,fusion_disagreement_large,15.5999189928734,0.999940156168602,0.848119125080336,15.3734896586525,0.87150822005392,0.220000000000001,0.260317125079922,0.628119125080336,0,0.55,Inf,6.035232007843,Inf,6.72962763244236,0.0471371398929358,7.04271037327197,Inf,1,NaN,11.8066947265901,11.5766739434301,0.0671798754282051,1.01430148489403,4,0,0,Inf,6.035232007843,Inf,0.153958766256216,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.46097195825738,3.11616686730779,NaN,6.92959863285056,11.107167608872,-0.143823272718381,0,0,0,0.495,search,0,9,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0628429075622664
10,globalize,fusion_disagreement_large,15.5999748824552,1.00000718799452,0.903473644938559,15.326263748678,0.867482694490307,0.275000000000001,0.304106109988208,0.628473644938558,0,0.55,Inf,6.11249243048782,Inf,6.00020341632029,0.0465078400424425,13.9048769625451,Inf,1,NaN,11.806752854914,11.5293669815797,0.167594111454795,1.0175066999474,5,0,0,Inf,6.11249243048782,Inf,0.192593324002462,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.82950182502777,3.24456715969738,NaN,6.76230749387511,11.6107552925332,0.128400292389596,0,0,0,0.55,search,0,10,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0473971668877344
