v_forward,var_x,var_y,var_theta
0,0.000100412369578542,0.000104269060627471,0.000405271811306993
0.1,0.000123472939351418,0.000123801704901242,0.000394165915868311
0.2,0.000142126049872554,0.000148098494830136,0.000400701745037062
0.3,0.00016156771054463,0.000162312506358376,0.00039185932334162
0.4,0.000187412027003453,0.000204524760799489,0.000410565216700845
0.5,0.000227599580099566,0.00022473364796003,0.000398841826139243
0.6,0.000260120015162999,0.000265542985690468,0.000377629987026066
0.7,0.000279475335605893,0.000286978463896373,0.000385200967111437
0.8,0.000322890134656531,0.000328885688599284,0.000400564627315607
0.9,0.000361481519159959,0.00035511376554274,0.000392380796987832
