step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,fusion_disagreement_large,19.4,0.6,-2.53149129233486,18.2705765694982,1.03108666018406,0,1.20889742904647,2.53149129233486,0,-0.55,Inf,Inf,8.67132405274414,5.53411270463019,0.127450980392157,17.8316571882117,Inf,1,NaN,21.6813283725882,20.4881341304451,0.132814968037968,1.45003961726483,11,0,0,Inf,Inf,8.67132405274414,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.53411270463019,17.8316571882117,0,0,0,0,0.055,search,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,fusion_disagreement_large,19.3999979770637,0.599998666747462,-2.58624699931961,18.6997216700028,0.653222715277074,-0.0550000000000002,0.702296024175542,2.53124699931961,0,-0.55,Inf,Inf,8.99100379792006,6.82253574729152,0.0886892712550607,7.6269130095041,Inf,1,NaN,21.6813272826148,21.0497778263573,0.0928140311638278,1.00386405784973,5,0,0,Inf,Inf,8.99100379792006,0.263341399525822,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.76602885230923,15.9948032360443,0,0,0,0,0.11,search,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.571792513196674
3,globalize,fusion_disagreement_large,19.3999469395683,0.599968819080406,-2.63857476574982,18.7658753582786,0.574035633453645,-0.11,0.634601686348255,2.52857476574982,0.08,-0.45,Inf,Inf,9.36031191982182,6.61667910570334,0.07075731847143,18.7167879879854,Inf,1,NaN,21.6812978956385,21.1471163991274,0.0418974357987763,1.04558801527053,5,0,0,Inf,Inf,9.36031191982182,0.270665111393932,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.91914589792017,16.4847604913937,0,0,0,0.008,0.155,search,0,3,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.103183837882688
4,globalize,fusion_disagreement_large,19.3928968894484,0.596297968633913,-2.68449495294677,18.8558661490953,0.798951661865738,-0.131201026393418,0.573995239932116,2.55329392655336,0.08,-0.45,Inf,Inf,9.72880239500822,5.27444374422429,0.0610585325865062,18.8642544206723,Inf,1,NaN,21.6770143488439,21.1106341619844,0.0507333223930483,1.06307606594822,6,0,0,Inf,Inf,9.72880239500822,0.199877453311671,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.80309951025491,16.9130693986639,0,0,0,0.016,0.2,search,0,4,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.242251031511715
5,globalize,fusion_disagreement_large,19.3856827231784,0.592946559820817,-2.72889965404346,18.8912055388294,0.759364734801124,-0.183328838092677,0.521730481000976,2.54557081595078,0.11,0,Inf,Inf,9.80738923892112,5.63849541892014,0.0553817868582974,19.2439517091447,Inf,1,NaN,21.6724313226461,21.1610802869489,0.0450391841328587,1.00908398464645,4,0,0,Inf,Inf,9.80738923892112,0.0442119428775927,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.77347077381465,17.3326282145504,0,0,0,0.027,0.2,search,0,5,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0530659708400811
6,globalize,fusion_disagreement_large,19.3755364438417,0.588510489470202,-2.72994906622759,19.1123342342197,0.666388274239903,-0.203411284409442,0.274481971193931,2.52653778181814,0.08,-0.45,Inf,Inf,9.86843255928565,5.43788154683844,0.0519452693088884,19.4804763281114,Inf,1,NaN,21.6658504146577,21.3989938894061,0.0426059148371574,1.20002895013727,5,0,0,Inf,Inf,9.86843255928565,0.0576659906552406,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.71306471295894,17.7192408749914,0,0,0,0.035,0.245,search,0,6,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.239880224577841
7,globalize,fusion_disagreement_large,19.3678030270481,0.585344876390495,-2.77616848150642,19.0468986388048,0.660890553849601,-0.255276162906352,0.329676774699964,2.52089231860007,0,-0.55,Inf,Inf,9.75649194722004,6.22359615406094,0.0497585955986575,7.22137689270249,Inf,1,NaN,21.6607293484012,21.3451760612728,0.0834645695065783,1.96962860298695,3,0,0,Inf,Inf,9.75649194722004,0.100002535873051,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.8049603723573,15.8296253581794,0,0,0,0.035,0.3,search,0,7,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0656661410225852
8,globalize,fusion_disagreement_large,19.3677915084992,0.585340829331941,-2.8312603199039,19.0702279855287,0.59820811673079,-0.330763174379531,0.2978415976448,2.50049714552437,0,0.55,Inf,Inf,9.58431792684878,6.89179052008793,0.0482298765430438,7.2732899281853,Inf,1,NaN,21.6607213888229,21.3969163602345,0.0534665653664586,1.00764858026789,4,0,0,Inf,Inf,9.58431792684878,0.0893116163564374,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.00058979894881,14.2894849807805,0,0,0,0.035,0.355,search,0,8,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0668830796369296
9,globalize,fusion_disagreement_large,19.3676550624832,0.585292756083698,-2.77443704667438,19.1595674569954,0.559906875344567,-0.282429700255563,0.209630375896621,2.49200734641882,0,-0.55,Inf,Inf,9.66454773354215,6.86167940295262,0.0472292186959856,7.3034433470516,Inf,1,NaN,21.6606271681124,21.493374866269,0.106326139508483,1.36144833452145,3,0,0,Inf,Inf,9.66454773354215,0.0729849992405143,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.1555859276695,13.0319974867093,0,0,0,0.035,0.41,search,0,9,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0972035300473255
10,globalize,fusion_disagreement_large,19.3677247109388,0.585317371499129,-2.82930499771614,19.1491155107315,0.542267956302464,-0.342067249261086,0.222807617832109,2.48723774845505,0,-0.55,Inf,Inf,9.45172964999719,6.1955004670171,0.0465688098312845,7.31684211749949,Inf,1,NaN,21.6606752244887,21.4932554854586,0.125470887355321,1.12333871959686,3,0,0,Inf,Inf,9.45172964999719,0.113106377958944,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.16277054475207,12.0032695202515,0,0,0,0.035,0.465,search,0,10,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0205030399130402
11,globalize,fusion_disagreement_large,19.3676918902074,0.585307767817571,-2.8845533682034,19.2296574580717,0.549185727074205,-0.393004063640355,0.142682536711684,2.49154930456304,0,-0.55,Inf,Inf,9.34426230872209,6.88462364823602,0.0461305897153006,7.30212891916848,Inf,1,NaN,21.6606515821335,21.5593206616214,0.14956456696745,1.20708918228395,5,0,0,Inf,Inf,9.34426230872209,0.05917123828283,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.29270410337918,11.1570642120566,0,0,0,0.035,0.52,search,0,11,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0808384860929165
12,globalize,fusion_disagreement_large,19.3676082907378,0.585288172205028,-2.93814770668049,19.13092576469,0.543608072567419,-0.451629126135379,0.24032446575864,2.48651858054511,0,-0.55,Inf,Inf,9.23896807156664,6.47437780413014,0.0458387590261954,7.30531822960385,Inf,1,NaN,21.6605889318093,21.4768818821186,0.123403939270419,1.10208876150574,4,0,0,Inf,Inf,9.23896807156664,0.0593291869811106,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.32540536951435,10.4637499352151,0,0,0,0.035,0.575,search,0,12,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0988891172364879
13,globalize,fusion_disagreement_large,19.3676840016631,0.585301714340537,-2.99104833694941,19.215974637371,0.435229362117843,-0.519081942792686,0.213395037701376,2.47196639415673,0,-0.55,Inf,Inf,10.0178197742792,7.19055727072872,0.0456439507943966,7.41470078888809,Inf,1,NaN,21.6606477695412,21.605108350587,0.0391800184699967,1.14573639100618,3,0,0,Inf,Inf,10.0178197742792,0.155955943536371,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.48113271173294,9.91492108887622,0,0,0,0.035,0.63,search,0,13,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13776521920653
14,globalize,fusion_disagreement_large,19.3678479591379,0.585321880338172,-3.04737568120514,19.2502393618342,0.272285885476888,-0.591179860012286,0.334399934567203,2.45619582119285,0,-0.55,Inf,Inf,Inf,7.19055727072872,0.0455137012986802,7.57742082553283,Inf,1,NaN,21.6607797608768,21.717675973001,0.0391800184699967,1.14573639100618,3,0,0,Inf,Inf,Inf,Inf,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.60882913235218,9.49417104147441,0,0,0,0.035,0.685,search,0,14,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.166507200812394
15,globalize,fusion_disagreement_large,19.3676946858252,0.585311813277947,-3.10463713120203,19.252914776156,0.352368656819046,-0.638992740511377,0.259686237226167,2.46564439069066,0,-0.55,10.1491908000245,Inf,Inf,4.23379679703882,0.0454265231570214,19.7469513855501,Inf,1,NaN,21.6606519845635,21.6790541293059,0.0463176862305307,1.08045423629722,5,0,0,10.1491908000245,Inf,Inf,Inf,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.18132331199578,11.339671503408,0,0,0,0.035,0.74,search,0,15,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0801274491521724
