method,path_found,clearance_ok,waypoints,path_length_m,min_clearance_m,heading_variation_rad,runtime_s,score
iterative,1,1,93,20.9681240867132,0.353836120259083,10.2101761241669,0.0047418,0.77499628815032
shortcut,1,1,6,19.4879510568364,0.200034290613196,4.61340699149854,0.0498866,0.683877226626728
spline,1,1,279,21.0375109045821,0.36012922617169,15.2881133476036,0.00696,0.913951642324793
chaikin,1,1,372,20.8234926202497,0.353749754613185,10.2101761241678,0.0062063,0.774494479995992
