method,mean_xy_error_m,std_xy_error_m,mean_unique_ratio,std_unique_ratio,mean_runtime_ms
multinomial,0.025737559359315,0.0134815985530369,0.0541266666666667,0.0058957324282641,2.0092524
systematic,0.00580986536345809,0.00297303926009428,0.05963,0.00572881990553379,0.0323016
stratified,0.0068081935559884,0.00349162076655849,0.0584266666666667,0.00607086295874077,0.0297704
residual,0.00833302772633097,0.00440868941837268,0.0568833333333333,0.00584601318397895,0.1811616
