step_created,path_revision,path_point_index,x,y
170,1,1,1.32607390744522,8.60089612467671
170,1,2,1.32607390744522,8.60089612467671
170,1,3,1.32714393124427,8.60011137418969
170,1,4,1.32928397884235,8.59854187321566
170,1,5,1.33249405023948,8.5961876217546
170,1,6,1.33677414543565,8.59304861980653
170,1,7,1.34212426443086,8.58912486737144
170,1,8,1.34854440722511,8.58441636444932
170,1,9,1.3560345738184,8.5789231110402
170,1,10,1.36459476421074,8.57264510714405
170,1,11,1.37422497840212,8.56558235276088
170,1,12,1.38492521639254,8.5577348478907
170,1,13,1.396695478182,8.5491025925335
170,1,14,1.40953576377051,8.53968558668928
170,1,15,1.42344607315805,8.52948383035804
170,1,16,1.43842640634464,8.51849732353978
170,1,17,1.45447676333028,8.5067260662345
170,1,18,1.47159714411495,8.49417005844221
170,1,19,1.48842875110058,8.48161755113693
170,1,20,1.50497158428717,8.46906854431868
170,1,21,1.52122564367472,8.45652303798744
170,1,22,1.53719092926322,8.44398103214322
170,1,23,1.55286744105269,8.43144252678601
170,1,24,1.56825517904311,8.41890752191583
170,1,25,1.58335414323448,8.40637601753266
170,1,26,1.59816433362682,8.39384801363652
170,1,27,1.61268575022012,8.38132351022739
170,1,28,1.62691839301437,8.36880250730528
170,1,29,1.64086226200958,8.35628500487019
170,1,30,1.65451735720575,8.34377100292211
170,1,31,1.66788367860287,8.33126050146106
170,1,32,1.68096122620096,8.31875350048702
170,1,33,1.69375,8.30625
170,1,34,1.70625,8.29375
170,1,35,1.71875,8.28125
170,1,36,1.73125,8.26875
170,1,37,1.74375,8.25625
170,1,38,1.75625,8.24375
170,1,39,1.76875,8.23125
170,1,40,1.78125,8.21875
170,1,41,1.79375,8.20625
170,1,42,1.80625,8.19375
170,1,43,1.81875,8.18125
170,1,44,1.83125,8.16875
170,1,45,1.84375,8.15625
170,1,46,1.85625,8.14375
170,1,47,1.86875,8.13125
170,1,48,1.88125,8.11875
170,1,49,1.89375,8.10625
170,1,50,1.90625,8.09375
170,1,51,1.91875,8.08125
170,1,52,1.93125,8.06875
170,1,53,1.94375,8.05625
170,1,54,1.95625,8.04375
170,1,55,1.96875,8.03125
170,1,56,1.98125,8.01875
170,1,57,1.99375,8.00625
170,1,58,2.00625,7.99375
170,1,59,2.01875,7.98125
170,1,60,2.03125,7.96875
170,1,61,2.04375,7.95625
170,1,62,2.05625,7.94375
170,1,63,2.06875,7.93125
170,1,64,2.08125,7.91875
170,1,65,2.09375,7.90625
170,1,66,2.10625,7.89375
170,1,67,2.11875,7.88125
170,1,68,2.13125,7.86875
170,1,69,2.14375,7.85625
170,1,70,2.15625,7.84375
170,1,71,2.16875,7.83125
170,1,72,2.18125,7.81875
170,1,73,2.19375,7.80625
170,1,74,2.20625,7.79375
170,1,75,2.21875,7.78125
170,1,76,2.23125,7.76875
170,1,77,2.24375,7.75625
170,1,78,2.25625,7.74375
170,1,79,2.26875,7.73125
170,1,80,2.28125,7.71875
170,1,81,2.29375,7.70625
170,1,82,2.30625,7.69375
170,1,83,2.31875,7.68125
170,1,84,2.33125,7.66875
170,1,85,2.34375,7.65625
170,1,86,2.35625,7.64375
170,1,87,2.36875,7.63125
170,1,88,2.38125,7.61875
170,1,89,2.39375,7.60625
170,1,90,2.40625,7.59375
170,1,91,2.41875,7.58125
170,1,92,2.43125,7.56875
170,1,93,2.44375,7.55625
170,1,94,2.45625,7.54375
170,1,95,2.46875,7.53125
170,1,96,2.48125,7.51875
170,1,97,2.49375,7.50625
170,1,98,2.50625,7.49375
170,1,99,2.51875,7.48125
170,1,100,2.53125,7.46875
170,1,101,2.54375,7.45625
170,1,102,2.55625,7.44375
170,1,103,2.56875,7.43125
170,1,104,2.58125,7.41875
170,1,105,2.59375,7.40625
170,1,106,2.60625,7.39375
170,1,107,2.61875,7.38125
170,1,108,2.63125,7.36875
170,1,109,2.64375,7.35625
170,1,110,2.65625,7.34375
170,1,111,2.66875,7.33125
170,1,112,2.68125,7.31875
170,1,113,2.69375,7.30625
170,1,114,2.70625,7.29375
170,1,115,2.71875,7.28125
170,1,116,2.73125,7.26875
170,1,117,2.74375,7.25625
170,1,118,2.75625,7.24375
170,1,119,2.76875,7.23125
170,1,120,2.78125,7.21875
170,1,121,2.79375,7.20625
170,1,122,2.80625,7.19375
170,1,123,2.81875,7.18125
170,1,124,2.83125,7.16875
170,1,125,2.84375,7.15625
170,1,126,2.85625,7.14375
170,1,127,2.86875,7.13125
170,1,128,2.88125,7.11875
170,1,129,2.89375,7.10625
170,1,130,2.90625,7.09375
170,1,131,2.91875,7.08125
170,1,132,2.93125,7.06875
170,1,133,2.94375,7.05625
170,1,134,2.95625,7.04375
170,1,135,2.96875,7.03125
170,1,136,2.98125,7.01875
170,1,137,2.99375,7.00625
170,1,138,3.00625,6.99375
170,1,139,3.01875,6.98125
170,1,140,3.03125,6.96875
170,1,141,3.04375,6.95625
170,1,142,3.05625,6.94375
170,1,143,3.06875,6.93125
170,1,144,3.08125,6.91875
170,1,145,3.09375,6.90625
170,1,146,3.10625,6.89375
170,1,147,3.11875,6.88125
170,1,148,3.13125,6.86875
170,1,149,3.14375,6.85625
170,1,150,3.15625,6.84375
170,1,151,3.16875,6.83125
170,1,152,3.18125,6.81875
170,1,153,3.19375,6.80625
170,1,154,3.20625,6.79375
170,1,155,3.21875,6.78125
170,1,156,3.23125,6.76875
170,1,157,3.24375,6.75625
170,1,158,3.25625,6.74375
170,1,159,3.26875,6.73125
170,1,160,3.28125,6.71875
170,1,161,3.29375,6.70625
170,1,162,3.30625,6.69375
170,1,163,3.31875,6.68125
170,1,164,3.33125,6.66875
170,1,165,3.34375,6.65625
170,1,166,3.35625,6.64375
170,1,167,3.36875,6.63125
170,1,168,3.38125,6.61875
170,1,169,3.39375,6.60625
170,1,170,3.40625,6.59375
170,1,171,3.41875,6.58125
170,1,172,3.43125,6.56875
170,1,173,3.44375,6.55625
170,1,174,3.45625,6.54375
170,1,175,3.46875,6.53125
170,1,176,3.48125,6.51875
170,1,177,3.49375,6.50625
170,1,178,3.50625,6.49375
170,1,179,3.51796875,6.48125
170,1,180,3.52890625,6.46875
170,1,181,3.5390625,6.45625
170,1,182,3.5484375,6.44375
170,1,183,3.55703125,6.43125
170,1,184,3.56484375,6.41875
170,1,185,3.571875,6.40625
170,1,186,3.578125,6.39375
170,1,187,3.58359375,6.38125
170,1,188,3.58828125,6.36875
170,1,189,3.5921875,6.35625
170,1,190,3.5953125,6.34375
170,1,191,3.59765625,6.33125
170,1,192,3.59921875,6.31875
170,1,193,3.6,6.30625
170,1,194,3.6,6.29375
170,1,195,3.6,6.28125
170,1,196,3.6,6.26875
170,1,197,3.6,6.25625
170,1,198,3.6,6.24375
170,1,199,3.6,6.23125
170,1,200,3.6,6.21875
170,1,201,3.6,6.20625
170,1,202,3.6,6.19375
170,1,203,3.6,6.18125
170,1,204,3.6,6.16875
170,1,205,3.6,6.15625
170,1,206,3.6,6.14375
170,1,207,3.6,6.13125
170,1,208,3.6,6.11875
170,1,209,3.6,6.10625
170,1,210,3.6,6.09375
170,1,211,3.6,6.08125
170,1,212,3.6,6.06875
170,1,213,3.6,6.05625
170,1,214,3.6,6.04375
170,1,215,3.6,6.03125
170,1,216,3.6,6.01875
170,1,217,3.6,6.00625
170,1,218,3.6,5.99375
170,1,219,3.6,5.98125
170,1,220,3.6,5.96875
170,1,221,3.6,5.95625
170,1,222,3.6,5.94375
170,1,223,3.6,5.93125
170,1,224,3.6,5.91875
170,1,225,3.6,5.90625
170,1,226,3.6,5.89375
170,1,227,3.6,5.88125
170,1,228,3.6,5.86875
170,1,229,3.6,5.85625
170,1,230,3.6,5.84375
170,1,231,3.6,5.83125
170,1,232,3.6,5.81875
170,1,233,3.6,5.80625
170,1,234,3.6,5.79375
170,1,235,3.6,5.78125
170,1,236,3.6,5.76875
170,1,237,3.6,5.75625
170,1,238,3.6,5.74375
170,1,239,3.6,5.73125
170,1,240,3.6,5.71875
170,1,241,3.6,5.70625
170,1,242,3.6,5.69375
170,1,243,3.60078125,5.68125
170,1,244,3.60234375,5.66875
170,1,245,3.6046875,5.65625
170,1,246,3.6078125,5.64375
170,1,247,3.61171875,5.63125
170,1,248,3.61640625,5.61875
170,1,249,3.621875,5.60625
170,1,250,3.628125,5.59375
170,1,251,3.63515625,5.58125
170,1,252,3.64296875,5.56875
170,1,253,3.6515625,5.55625
170,1,254,3.6609375,5.54375
170,1,255,3.67109375,5.53125
170,1,256,3.68203125,5.51875
170,1,257,3.69375,5.50625
170,1,258,3.70625,5.49375
170,1,259,3.71875,5.48203125
170,1,260,3.73125,5.47109375
170,1,261,3.74375,5.4609375
170,1,262,3.75625,5.4515625
170,1,263,3.76875,5.44296875
