step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,ambiguity_clear_counter
1,localize,ok,2,0.8,-0.456751886309423,8.28148960619182,9.30675509025135,2.63156988228022,10.5745918993696,3.08832176858964,0.163626205080528,0.232307514931062,1.3635517090044,1.39501158891568,0.907160565927139,0.104260833688854,1.01,Inf,Inf,1,NaN,11.0634533487515,0.924693458843646,0.880575355172284,8.84224300602162,1,1,1.3635517090044,1.39501158891568,0.907160565927139,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.133678889127471,0,0.0163626205080528,0.0232307514931062,0
2,localize,ok,2.01511193862005,0.792779256002439,-0.434736907742597,8.2717840332761,9.30828364869964,2.66307218922993,10.5669182244443,3.09780909697253,0.160802293245141,0.233631110839285,1.34001911037617,1.38173530447632,0.789582199753565,0.123590782023931,1.02026907402664,Inf,Inf,1,NaN,11.0591128528858,0.934510689856939,0.935926478925785,1.01813798448343,1,2,1.34001911037617,1.38173530447632,0.789582199753565,0.0613504477475907,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.100743012648027,0,0.0324428498325669,0.0465938625770347,0
3,localize,ok,2.02939013148397,0.786366720662801,-0.40949674627502,8.26607923100522,9.31547383449563,2.68878502583056,10.5660758601915,3.09828177210558,0.164152669997339,0.238173097156362,1.36793891664449,1.34546114816715,0.773912490438609,0.122655821469808,1.03105895136858,Inf,Inf,1,NaN,11.0547216539192,0.941032522930489,0.911108308922496,1.01036979318544,1,3,1.36793891664449,1.34546114816715,0.773912490438609,0.112796232060671,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.106328434041203,0,0.0488581168323008,0.0704111722926709,0
4,localize,ok,2.04429094910838,0.780133705805747,-0.382867635123468,8.26497567631761,9.31924748534791,2.7104377967112,10.5647234992356,3.09330543183467,0.167765609158359,0.239826981938021,1.39804674298632,1.31160227804543,0.793881709260438,0.194997922550474,1.04240480410813,Inf,Inf,1,NaN,11.0498108777083,0.942597713045978,0.911473903622176,1.00123235631358,1,4,1.39804674298632,1.31160227804543,0.793881709260438,0.137048041682435,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.112295112679594,0,0.0656346777481367,0.094393870486473,0
5,localize,ok,2.05958493264592,0.774162069554862,-0.361636965834751,8.26334199948317,9.30663617984164,2.74817249007957,10.5493941146896,3.10980945591432,0.163114680960457,0.24306370791244,1.35928900800381,1.43489027465978,0.84586343990138,0.192903175193544,1.05434549863062,Inf,Inf,1,NaN,11.0444679439177,0.94270858953518,0.911786137142793,1.02112418708131,1,5,1.35928900800381,1.43489027465978,0.84586343990138,0.0996735535964054,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.129667315526769,0,0.0819461458441824,0.118700241277717,0
6,localize,ok,2.07525534400276,0.768492415358171,-0.332670548559003,8.25243800108983,9.30394943681697,2.777222715021,10.5362048264158,3.10989326358,0.150168259363976,0.246499529366532,1.25140216136647,1.35055889011079,0.734118153001442,0.194781720275341,1.06678179305368,Inf,Inf,1,NaN,11.03867322476,0.953246676990381,0.914182263011752,1.04562619788001,1,6,1.25140216136647,1.35055889011079,0.734118153001442,0.125469328382038,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.110506820446139,0,0.0969629717805801,0.14335019421437,0
7,localize,ok,2.08910962151621,0.763885774463855,-0.309342355080065,8.24599720223264,9.31033415988548,2.81055290102795,10.5332352430892,3.11989525610802,0.151024113974407,0.249527613388813,1.25853428312006,1.34515665427488,0.739546061318697,0.22513976874314,1.07950446737472,Inf,Inf,1,NaN,11.0332581407808,0.960361892718359,0.911148145762355,1.12164835164626,1,7,1.25853428312006,1.34515665427488,0.739546061318697,0.0879070295538081,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.139952903022711,0,0.112065383178021,0.168302955553251,0
8,localize,ok,2.1036175178645,0.759463094498342,-0.282451805965691,8.23991369039559,9.29521758433261,2.85379667755344,10.5125275470624,3.13624848351913,0.150515581760597,0.252005773102535,1.25429651467164,1.35610027128404,0.860972806191132,0.228148780915545,1.09270700253229,Inf,Inf,1,NaN,11.0272982904198,0.964796408708053,0.912396086989526,1.0082172773596,1,8,1.25429651467164,1.35610027128404,0.860972806191132,0.121089327825597,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.137574373049373,0,0.12711694135408,0.193503532863505,0
9,localize,ok,2.11782626868313,0.755501948613341,-0.261306234516399,8.23355897649909,9.28673575694325,2.88783015782055,10.4968631907747,3.13404891484264,0.144064785031685,0.253984724098728,1.20053987526404,1.33248918222955,0.776612064710305,0.261464641863608,1.10636229680889,Inf,Inf,1,NaN,11.0211946766414,0.970325380188526,0.913598339291012,1.04307862998703,1,9,1.20053987526404,1.33248918222955,0.776612064710305,0.104569301802306,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.122382522309724,0,0.141523419857249,0.218902005273378,0
10,localize,ok,2.13170684424218,0.752011575777814,-0.231393408782158,8.19961427310613,9.27120556059629,2.91456719419374,10.459262245313,3.13722470420369,0.141682221882628,0.253531764388926,1.18068518235523,1.36867735854352,0.835349799226519,0.291670338991822,1.12029402607231,Inf,Inf,1,NaN,11.0149569473296,1.00291666375268,0.912307749375184,1.0026710860619,0,0,1.18068518235523,1.36867735854352,0.835349799226519,0.113508782587478,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.137977070526803,1,0.155691642045512,0.24425518171227,0
