step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,pf_weakly_unique,9.2,8.6,1.00570176759682,9.04396762646134,8.40988962857897,1.01641413280455,0.24594319448594,0.0107123652077279,0.08,0.45,1.48018868910603,1.23748768388394,0.711764814959808,0.0873201755144291,1.01,Inf,Inf,1,NaN,9.67470929795826,9.44532077876779,0.618193465092357,5.59934858349215,2,1,1,1.48018868910603,1.23748768388394,0.711764814959808,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.078945218914119,0.078945218914119,NaN,0.0873201755144291,NaN,0,0,0,0.008,0.045,search,0,0,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,ok,9.20407518035789,8.60674676424725,1.04915064368762,9.09208074000893,8.36053758262737,1.0680872045894,0.270484224647227,0.0189365609017793,0,0.55,1.56469447176339,1.22187973730815,0.79921454928415,0.0893948052272221,1.02006432,Inf,Inf,1,NaN,9.68159563774014,9.46346163099865,0.855731307264394,1.02673133251532,2,1,2,1.56469447176339,1.22187973730815,0.79921454928415,0.141306560834692,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0407970298654805,0.0720785448853641,NaN,0.0876936088627319,NaN,-0.00686667402875495,0,0,0.008,0.1,search,0,0,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0689238430069923
3,globalize,ok,9.20410486300749,8.60680173394218,1.10220324863948,9.09589469039301,8.35676918436415,1.12513774781295,0.27244397094769,0.0229344991734726,0,0.58,1.43261307285822,1.24429205606629,0.89333732967895,0.0956421768668716,1.03006432,Inf,Inf,1,NaN,9.68164869523036,9.46498885966917,0.891873472180844,1.02846187966504,1,1,3,1.43261307285822,1.24429205606629,0.89333732967895,0.1589920524278,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0361120525930347,0.0656045762727448,NaN,0.089124351103477,NaN,-0.00647396861261929,0,0,0.008,0.158,search,0,0,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00536162689884459
4,globalize,ok,9.20407590756918,8.60674012559077,1.16068057547381,9.09686225850692,8.35737028062913,1.17988688441893,0.271440759874849,0.019206308945122,0.175961684955927,0.0701422583205819,1.46634737463273,1.32020126761117,0.861979016250246,0.0971962114085505,1.04006432,Inf,Inf,1,NaN,9.68159297301581,9.46612630442877,0.892334356545885,1.10635614138373,1,1,4,1.46634737463273,1.32020126761117,0.861979016250246,0.109596435594292,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0355040182268954,0.0601864758244919,NaN,0.0905772859583902,NaN,-0.00541810044825288,0,0,0.0255961684955927,0.165014225832058,search,0,0,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00113908067091285
5,globalize,ok,9.21117462397402,8.62317976127532,1.1656713370105,9.10584563804219,8.37316051296629,1.18474413581554,0.271300239222974,0.0190727988050319,0.179037936569162,0.0677954259930497,1.49198280474301,1.34997486666071,0.869854534321588,0.10549982035732,1.0506595596423,Inf,Inf,1,NaN,9.69592293515993,9.48160687016386,0.894198137097202,1.06956758353934,1,1,5,1.49198280474301,1.34997486666071,0.869854534321588,0.0373880240196501,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0279511160023328,0.0543841110565033,NaN,0.0932633421501976,NaN,-0.00580236476798864,0,0,0.0434999621525089,0.171793768431363,search,0,0,1,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0181667978778828
6,globalize,ok,9.21819980218351,8.63971218675711,1.1722930059322,9.11315101917189,8.39354783939609,1.19471493255591,0.26764179928386,0.0224219266237173,0,0.58,1.40968072440577,1.27900437995643,0.756259667368361,0.110369477684943,1.0619147634411,Inf,Inf,1,NaN,9.71024726565332,9.4978503683928,0.891960828202718,1.02985973267394,1,1,6,1.40968072440577,1.27900437995643,0.756259667368361,0.0746355392261498,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0385904715672912,0.0515412559484451,NaN,0.0963424465464518,NaN,-0.00284285510805816,0,0,0.0434999621525089,0.229793768431363,search,0,0,2,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.021656677316835
7,globalize,ok,9.21821190211973,8.63974340839099,1.22984457234831,9.11443782528578,8.39270773230855,1.25183946843257,0.267947166956934,0.0219948960842618,0,0.58,1.48319740642427,1.33635035082662,0.800520075924802,0.114322789687736,1.0719147634411,Inf,Inf,1,NaN,9.71027331685645,9.49857045375511,0.891313231157882,1.01977940370094,1,1,7,1.48319740642427,1.33635035082662,0.800520075924802,0.145648253965861,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0345948072961738,0.0484908951910363,NaN,0.0995789083118829,NaN,-0.00305036075740883,0,0,0.0434999621525089,0.287793768431363,search,0,0,1,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00153676605026427
8,globalize,ok,9.21818468610348,8.63965905039447,1.28758311211451,9.11734995783832,8.39499965706988,1.30033642648398,0.264623999603704,0.0127533143694643,0,0.58,1.34266673555417,1.32118248506484,0.842669740722461,0.118739916294421,1.0819147634411,Inf,Inf,1,NaN,9.71020767715151,9.5022277477245,0.895554543229495,1.07143845405132,1,1,8,1.34266673555417,1.32118248506484,0.842669740722461,0.160069203674678,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0361867543453389,0.0462761498388107,NaN,0.10302788974874,NaN,-0.00221474535222553,0,0,0.0434999621525089,0.345793768431363,search,0,0,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00370586496181202
9,globalize,ok,9.21818082136023,8.63964415974813,1.34613213305346,9.12268918899163,8.38041000987505,1.35258863135376,0.276262549602441,0.00645649830030415,0,0.58,1.52747127329344,1.25209471055395,0.828865330464328,0.179780716789524,1.0919147634411,Inf,Inf,1,NaN,9.71019690501183,9.49985848289971,0.893878358152607,1.05073256850178,1,0,0,1.52747127329344,1.25209471055395,0.828865330464328,0.212847302033303,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0399187223852197,0.0451318128971644,NaN,0.116843398616081,NaN,-0.00114433694164638,0,0,0.0434999621525089,0.403793768431363,confirm,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01553593236913
10,globalize,ok,9.21820003818882,8.63974147431152,1.40553473558949,9.15535331363485,8.40472135055287,1.47646231937785,0.243277967269325,0.0709275837883583,0,0.58,1.39002473561875,1.30293314079654,0.861941217573705,0.128486887118179,1.1019147634411,Inf,Inf,1,NaN,9.71026206758259,9.54019851533008,0.996113382920833,1.00495071382076,1,0,0,1.39002473561875,1.30293314079654,0.861941217573705,0.485473215948976,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0368188338884856,0.0436354766756022,NaN,0.118939226546459,NaN,-0.00149633622156217,0,0,0.0434999621525089,0.461793768431363,confirm,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0407183782125635
11,globalize,ok,9.21818458564248,8.63962773696604,1.46598815047088,9.1684623864477,8.42089700318744,1.5155796061378,0.224311013978556,0.049591455666925,0,0.58,1.31664605845105,1.27253698355449,0.775704296730979,0.129940625138305,1.1119147634411,Inf,Inf,1,NaN,9.71019198318755,9.55949014474395,0.999971493117891,1.0031721657976,1,1,1,1.31664605845105,1.27253698355449,0.775704296730979,0.0816281672836067,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0181758292132731,0.039052740132383,NaN,0.120919478292991,NaN,-0.00458273654321924,0,0,0.0434999621525089,0.519793768431363,confirm,0,0,1,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020820651482768
12,globalize,ok,9.21818188617542,8.63959221124038,1.52392346371894,9.17395265322303,8.42481471368766,1.57015556853574,0.219284286948624,0.0462321048168,0,0.58,1.35489915901313,1.1580553230505,0.741689478223241,0.171022547461767,1.1219147634411,Inf,Inf,1,NaN,9.71017193667705,9.56619015984748,0.964899999999916,1.00448221226339,1,1,2,1.35489915901313,1.1580553230505,0.741689478223241,0.0883446992231982,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0222465928234077,0.0360276336167674,NaN,0.129938030743371,NaN,-0.00302510651561554,0,0,0.0434999621525089,0.577793768431363,search,0,0,2,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00674473756552225
13,globalize,ok,9.2181836842231,8.63969761121131,1.58355393773572,9.16962386637199,8.43107270359348,1.60799105287466,0.214201792682226,0.024437115138944,0,0.58,1.37226908861146,1.20453998864452,0.843406855564039,0.170818389612589,1.1319147634411,Inf,Inf,1,NaN,9.71022602771349,9.56542931867213,0.912097136010698,1.00302828607341,1,1,3,1.37226908861146,1.20453998864452,0.843406855564039,0.0729139260272217,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0124525753114535,0.0317841231218109,NaN,0.13729649533983,NaN,-0.00424351049495651,0,0,0.0434999621525089,0.635793768431363,search,0,0,3,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00760925970532448
14,globalize,ok,9.2181757969547,8.63988758516131,1.64102631791913,9.17188263086828,8.43544357988303,1.64109588874113,0.209619675890717,6.95708220099789e-05,0,0.58,1.2874610381962,1.18255094525236,0.814994261125163,0.17368367042339,1.1419147634411,Inf,Inf,1,NaN,9.71031387677208,9.56952224342013,0.912942809913708,1.02029844062587,1,1,4,1.2874610381962,1.18255094525236,0.814994261125163,0.0751643414181127,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013261036424676,0.0284499675163266,NaN,0.143846186854871,NaN,-0.00333415560548429,0,0,0.0282749753991308,0.471265949480386,search,0,0,4,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0049200179459251
15,globalize,ok,9.21817781318262,8.63986744342339,1.70010558574412,9.15832904864328,8.43588524921178,1.73036061985747,0.212580832090447,0.0302550341133583,0,0.58,1.40917512117945,1.26923441046025,0.761017057694018,0.216933839987179,1.1519147634411,Inf,Inf,1,NaN,9.71030558552457,9.55788138288258,0.91297860266929,1.02765030960625,1,0,0,1.40917512117945,1.26923441046025,0.761017057694018,0.396254009748633,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0797213413607613,0.0376788148083248,NaN,0.157001964418686,NaN,0.00922884729199824,0,0,0.0282749753991308,0.529265949480386,search,0,1,3,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0135607766343142
16,globalize,ok,9.21818559827783,8.63981884172785,1.75915163033957,9.17357968685987,8.43628555028547,1.78416145647044,0.208363835774821,0.0250098261308684,0,0.58,1.43518560929339,1.16538009828612,0.869309341124208,0.150022019247738,1.1619147634411,Inf,Inf,1,NaN,9.71028811044225,9.57141475833004,0.99807167842883,1.00127445799038,1,0,0,1.43518560929339,1.16538009828612,0.869309341124208,0.314822084662851,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0196454779110342,0.0344328141668125,NaN,0.155745574287916,NaN,-0.00324600064151231,0,0,0.0282749753991308,0.587265949480386,search,0,2,2,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0152558908937856
17,globalize,ok,9.21816310273404,8.63992049962758,1.81799561610949,9.18312005521052,8.44769686243324,1.84092654256303,0.195391765118076,0.0229309264535438,0,0.58,1.46103069853413,1.24363177074159,0.727742615168045,0.150770469816941,1.1719147634411,Inf,Inf,1,NaN,9.71031927729197,9.58529018784223,0.999970130711226,1.00482568438313,1,0,0,1.46103069853413,1.24363177074159,0.727742615168045,0.211750116577469,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014373896676241,0.0308222090185097,NaN,0.15485005548314,NaN,-0.00361060514830287,0,0,0.0282749753991308,0.645265949480386,search,0,3,1,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0148740267984134
18,globalize,ok,9.21814913365425,8.63996987561026,1.87501176040441,9.1908909876913,8.4458839701935,1.89264204263557,0.195990676315951,0.0176302822311634,0,0.58,1.49327777826104,1.19258083704776,0.776092217223637,0.130929127180554,1.1819147634411,Inf,Inf,1,NaN,9.71033177771278,9.59120896612205,0.999999997246675,1.00900231626431,1,1,1,1.49327777826104,1.19258083704776,0.776092217223637,0.139328094979231,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111657754612288,0.0272840509781991,NaN,0.150544288388675,NaN,-0.00353815804031055,0,0,0.0282749753991308,0.703265949480386,search,0,0,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00797959710097213
19,globalize,ok,9.21812378721816,8.64004303551673,1.93360292910755,9.19736300135942,8.45636102712402,1.94498428633604,0.184851536203109,0.0113813572284891,0,0.58,1.400450365588,1.30393267373743,0.852658579451528,0.18088483207792,1.1919147634411,Inf,Inf,1,NaN,9.71034626996288,9.60194789568864,0.964277725154616,1.00066758430848,1,1,2,1.400450365588,1.30393267373743,0.852658579451528,0.165592453365784,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0132310165147886,0.0247545047747852,NaN,0.156005586252739,NaN,-0.00252954620341389,0,0,0.0282749753991308,0.761265949480386,search,0,0,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0123148561845376
20,globalize,ok,9.21808404860195,8.64013919491338,1.99175566835827,9.20079364770267,8.46583796804855,1.99600310439924,0.175156717398566,0.00424743604097522,0.179429400460348,0.0660118814785385,1.49524500383624,1.26048640824993,0.892730794234376,0.17928479463548,1.2019147634411,Inf,Inf,1,NaN,9.71035975005372,9.60954618363245,0.911540871185777,1.00055705836352,1,1,3,1.49524500383624,1.26048640824993,0.892730794234376,0.133950310602739,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0113079862394525,0.0223341314384253,NaN,0.160195843761632,NaN,-0.00242037333635988,0,0,0.0462179154451656,0.76786713762824,search,0,0,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0100787768910459
21,globalize,ok,9.21068887309155,8.65640799709553,2.00311901420284,9.19791851821756,8.48520576437982,1.99808578801001,0.171677856610729,0.00503322619282809,0,0.58,1.49516813671652,1.33763618556136,0.856879413599313,0.182587832165816,1.21331525014346,Inf,Inf,1,NaN,9.71207423541436,9.61645404986678,0.912687393929665,1.01692046500873,1,1,4,1.49516813671652,1.33763618556136,0.856879413599313,0.0317604946686925,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0096635943992391,0.0200534347713718,NaN,0.164226401674385,NaN,-0.00228069666705352,0,0,0.0462179154451656,0.82586713762824,search,0,0,1,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0195800384137929
