step_created,path_revision,path_point_index,x,y
68,1,1,20.0137405456613,13.5368082753242
68,1,2,20.0137405456613,13.5368082753242
68,1,3,19.8226100751316,13.570679307478
68,1,4,19.631479604602,13.6045503396318
68,1,5,19.4403491340723,13.6384213717855
68,1,6,19.2492186635426,13.6722924039393
68,1,7,19.058088193013,13.7061634360931
68,1,8,18.8669577224833,13.7400344682469
68,1,9,18.6758272519537,13.7739055004007
68,1,10,18.484696781424,13.8077765325544
68,1,11,18.2935663108944,13.8416475647082
68,1,12,18.1024358403647,13.875518596862
68,1,13,17.911305369835,13.9093896290158
68,1,14,17.7201748993054,13.9432606611696
68,1,15,17.5290444287757,13.9771316933233
68,1,16,17.3379139582461,14.0110027254771
68,1,17,17.1467834877164,14.0448737576309
68,1,18,16.9556530171868,14.0787447897847
68,1,19,16.7645225466571,14.1126158219385
68,1,20,16.5733920761274,14.1464868540922
68,1,21,16.3822616055978,14.180357886246
68,1,22,16.1911311350681,14.2142289183998
68,1,23,16.0000006645385,14.2480999505536
68,1,24,15.8384621774414,14.1309074389762
68,1,25,15.6769236903443,14.0137149273989
68,1,26,15.5153852032471,13.8965224158215
68,1,27,15.35384671615,13.7793299042441
68,1,28,15.1923082290529,13.6621373926668
68,1,29,15.0307697419558,13.5449448810894
68,1,30,14.8692312548587,13.4277523695121
68,1,31,14.7076927677616,13.3105598579347
68,1,32,14.5461542806645,13.1933673463573
68,1,33,14.3846157935674,13.07617483478
68,1,34,14.2230773064703,12.9589823232026
68,1,35,14.0615388193732,12.8417898116252
68,1,36,13.9000003322761,12.7245973000479
68,1,37,13.7384618451789,12.6074047884705
68,1,38,13.5769233580818,12.4902122768932
68,1,39,13.4153848709847,12.3730197653158
68,1,40,13.2538463838876,12.2558272537384
68,1,41,13.0923078967905,12.1386347421611
68,1,42,12.9307694096934,12.0214422305837
68,1,43,12.7692309225963,11.9042497190064
68,1,44,12.6076924354992,11.787057207429
68,1,45,12.4461539484021,11.6698646958516
68,1,46,12.284615461305,11.5526721842743
68,1,47,12.1230769742079,11.4354796726969
68,1,48,11.9615384871108,11.3182871611196
68,1,49,11.8000000000136,11.2010946495422
68,1,50,11.6564102564237,11.0651831796763
68,1,51,11.5128205128338,10.9292717098104
68,1,52,11.3692307692439,10.7933602399444
68,1,53,11.225641025654,10.6574487700785
68,1,54,11.0820512820641,10.5215373002126
68,1,55,10.9384615384741,10.3856258303467
68,1,56,10.7948717948842,10.2497143604807
68,1,57,10.6512820512943,10.1138028906148
68,1,58,10.5076923077044,9.97789142074887
68,1,59,10.3641025641145,9.84197995088295
68,1,60,10.2205128205245,9.70606848101702
68,1,61,10.0769230769346,9.5701570111511
68,1,62,9.9333333333447,9.43424554128517
68,1,63,9.78974358975479,9.29833407141925
68,1,64,9.64615384616487,9.16242260155332
68,1,65,9.50256410257495,9.02651113168739
68,1,66,9.35897435898503,8.89059966182147
68,1,67,9.21538461539511,8.75468819195554
68,1,68,9.07179487180519,8.61877672208962
68,1,69,8.92820512821528,8.48286525222369
68,1,70,8.78461538462536,8.34695378235777
68,1,71,8.64102564103544,8.21104231249184
68,1,72,8.49743589744552,8.07513084262591
68,1,73,8.3538461538556,7.93921937275999
68,1,74,8.21025641026568,7.80330790289406
68,1,75,8.06666666667576,7.66739643302814
68,1,76,7.92307692308585,7.53148496316221
68,1,77,7.77948717949593,7.39557349329629
68,1,78,7.63589743590601,7.25966202343036
68,1,79,7.49230769231609,7.12375055356444
68,1,80,7.34871794872617,6.98783908369851
68,1,81,7.20512820513625,6.85192761383258
68,1,82,7.06153846154633,6.71601614396666
68,1,83,6.91794871795642,6.58010467410073
68,1,84,6.7743589743665,6.44419320423481
68,1,85,6.63076923077658,6.30828173436888
68,1,86,6.48717948718666,6.17237026450295
68,1,87,6.34358974359674,6.03645879463703
68,1,88,6.20000000000682,5.9005473247711
68,1,89,6.0564102564169,5.76463585490518
68,1,90,5.91282051282699,5.62872438503925
68,1,91,5.76923076923707,5.49281291517333
68,1,92,5.62564102564715,5.3569014453074
68,1,93,5.48205128205723,5.22098997544147
68,1,94,5.33846153846731,5.08507850557555
68,1,95,5.19487179487739,4.94916703570962
68,1,96,5.05128205128747,4.8132555658437
68,1,97,4.90769230769756,4.67734409597777
68,1,98,4.76410256410764,4.54143262611185
68,1,99,4.62051282051772,4.40552115624592
68,1,100,4.4769230769278,4.26960968637999
68,1,101,4.33333333333788,4.13369821651407
68,1,102,4.18974358974796,3.99778674664814
68,1,103,4.04615384615805,3.86187527678222
68,1,104,3.90256410256813,3.72596380691629
68,1,105,3.75897435897821,3.59005233705037
68,1,106,3.61538461538829,3.45414086718444
68,1,107,3.47179487179837,3.31822939731851
68,1,108,3.32820512820845,3.18231792745259
68,1,109,3.18461538461853,3.04640645758666
68,1,110,3.04102564102861,2.91049498772074
68,1,111,2.8974358974387,2.77458351785481
68,1,112,2.75384615384878,2.63867204798889
68,1,113,2.61025641025886,2.50276057812296
68,1,114,2.46666666666894,2.36684910825703
68,1,115,2.32307692307902,2.23093763839111
68,1,116,2.1794871794891,2.09502616852518
68,1,117,2.03589743589919,1.95911469865926
68,1,118,1.89230769230927,1.82320322879333
68,1,119,1.74871794871935,1.68729175892741
68,1,120,1.60512820512943,1.55138028906148
68,1,121,1.46153846153951,1.41546881919555
68,1,122,1.31794871794959,1.27955734932963
68,1,123,1.17435897435967,1.1436458794637
68,1,124,1.03076923076976,1.00773440959778
68,1,125,0.887179487179837,0.871822939731852
68,1,126,0.743589743589918,0.735911469865925
68,1,127,0.6,0.6
