step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,pf_cluster_very_wide,3.2,8.2,1.64204916056151,7.29842297530555,2.23124567991344,-1.45314976421151,7.24037975648131,3.09519892477302,0.2,0.72,1.83146231250782,1.87524855448391,0.780355490231609,2.21428268503436,1.01,Inf,Inf,1,NaN,6.76756972627545,0.474379616734022,0.386464863742282,1.17808384815526,3,0,0,1.83146231250782,1.87524855448391,0.780355490231609,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.355820157871593,0.355820157871593,NaN,2.21428268503436,NaN,0,0,0,0.02,0.072,search,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,pf_cluster_very_wide,3.19776808251666,8.2203492984714,1.71803080018069,3.03670194226685,8.0957422708904,1.74662967934111,0.203639909785736,0.0285988791604241,0.2,0.72,1.83027920277856,2.03929225179211,0.86075284109302,3.65725647355649,1.020402,Inf,Inf,1,NaN,6.78566826415475,6.775759337704,0.315961216503114,1.15327127881239,3,0,0,1.83027920277856,2.03929225179211,0.86075284109302,0.433271169491571,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0443561090052425,0.29975662907565,NaN,2.47401796696834,NaN,-0.056063528795943,0,0,0.04,0.144,search,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.24945421594101
3,globalize,pf_cluster_very_wide,3.19413694936617,8.2397949891765,1.7927737563752,7.10614885349871,8.50674594616005,1.81131570069269,3.92110953066975,0.0185419443174899,0.2,0.72,1.72613199546621,2.21682199834342,0.90705764943939,3.64911290350529,1.03160791693212,Inf,Inf,1,NaN,6.80381371585967,5.90769965820685,0.278156509115476,1.03286183288611,4,0,0,1.72613199546621,2.21682199834342,0.90705764943939,0.345488852477058,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0356584898474088,0.252218964014566,NaN,2.68553505554499,NaN,-0.0475376650610833,0,0,0.06,0.216,search,0,3,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.09014940856928
4,globalize,pf_cluster_very_wide,3.18902512859826,8.25914879223977,1.86527459579715,3.14427507826586,8.18413241245193,1.8382908477933,0.0873500099669432,0.0269837480038504,0.2,0.72,1.74458807362855,2.59516414840105,0.856753801717825,1.82596575817117,1.04361550202315,Inf,Inf,1,NaN,6.82271899781636,6.78595236292431,0.550753978131247,1.00702016688213,3,0,0,1.74458807362855,2.59516414840105,0.856753801717825,0.765577308288076,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0196553355959226,0.21035751089921,NaN,2.53081258201771,NaN,-0.0418614531153559,0,0,0.08,0.288,search,0,4,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.97498720790513
5,globalize,pf_cluster_very_wide,3.18242829349724,8.27826254589465,1.94098734077605,3.14883186274193,8.24148426154468,1.95046692756862,0.0498132749297153,0.00947958679256544,0.2,-0.72,1.82389732097668,2.92477437637063,0.789619520529849,1.69960526881499,1.05641835244717,Inf,Inf,1,NaN,6.84225980757823,6.83065448509059,0.67139539783175,1.01925648996717,2,0,0,1.82389732097668,2.92477437637063,0.789619520529849,0.929259581960779,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0034436665735378,0.173113018920589,NaN,2.38119526564122,NaN,-0.0372444919786211,0,0,0.1,0.36,search,0,5,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.057532589713295
6,globalize,pf_cluster_very_wide,3.17606103388286,8.29651287604837,1.87196695794242,3.18274485728593,8.17697068819995,1.84683884371138,0.119728894469423,0.025128114231042,0.2,-0.72,1.80252422479718,2.48849310127778,0.831499659720167,1.82027711203896,1.07000594450344,Inf,Inf,1,NaN,6.86095971155449,6.75825708904436,0.739433542896631,1.01829440338991,1,0,0,1.80252422479718,2.48849310127778,0.831499659720167,0.931136710141203,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0170747467237539,0.145026129925159,NaN,2.28022999799281,NaN,-0.0280868889954304,0,0,0.12,0.432,search,0,6,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0728841021392727
7,globalize,pf_cluster_medium,3.170913411914,8.31544345967453,1.80062845520091,3.17897447182086,8.14898055682822,1.80608133123756,0.166657969238925,0.00545287603665745,0.2,0.72,1.74315967359674,2.2733239382307,0.86573221519905,0.508893567899385,1.08444667040549,Inf,Inf,1,NaN,6.87954926138308,6.73731558612585,0.705262239456249,1.07847691702385,2,0,0,1.74315967359674,2.2733239382307,0.86573221519905,0.774665588187859,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0274642533650796,0.123864992144345,NaN,1.961389440576,NaN,-0.0211611377808143,0,0,0.14,0.504,search,0,7,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0282429329348366
8,globalize,ok,3.16558728648909,8.33499618853489,1.87285540482589,3.13076255733102,8.08712077142791,1.85405699629776,0.250309776410944,0.0187984085281245,0.2,0.72,1.73803175885001,2.48661364202762,0.860314931865945,0.380945581894433,1.09972151937347,Inf,Inf,1,NaN,6.89876091338465,6.71412635776146,0.787171410922911,1.0016121319418,2,0,0,1.73803175885001,2.48661364202762,0.860314931865945,0.778017951652694,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0246112245611368,0.105999313979367,NaN,1.67690954601331,NaN,-0.0178656781649774,0,0,0.16,0.576,search,0,8,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0784284498670502
9,globalize,ok,3.15891140041134,8.35385947100399,1.94904325203696,3.14995453265267,8.14303027824349,1.95403146863145,0.211019368779475,0.00498821659448501,0.2,-0.72,1.74552993238979,2.94012875239402,0.862794763512713,0.384661780839549,1.11581610002651,Inf,Inf,1,NaN,6.91815441009756,6.74892841613881,0.81415499730157,1.02636379466374,2,0,0,1.74552993238979,2.94012875239402,0.862794763512713,0.893177099963226,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0174172567382783,0.0900545436759713,NaN,1.44430494828204,NaN,-0.015944770303396,0,0,0.18,0.648,search,0,9,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0591117997451357
10,globalize,pf_cluster_wide,3.15229890003196,8.37253809892691,1.87304240017012,3.16650114654398,8.08656360029308,1.8485001773938,0.286326941929782,0.0245422227763159,0.2,0.72,1.64377805015305,2.48228693757508,0.956117620731494,0.818769010042946,1.13270283170487,Inf,Inf,1,NaN,6.93736260103636,6.69313779923211,0.827555181805246,1.01822129511903,1,0,0,1.64377805015305,2.48228693757508,0.956117620731494,0.931170524760053,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0388330711046862,0.08083467861314,NaN,1.331708479399,NaN,-0.0092198650628313,0,0,0.2,0.72,search,0,10,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0588411093541224
